sign,R,G,B
1,198,202,213
1,216,206,204
1,198,196,197
1,193,188,194
1,174,183,200
1,218,207,203
1,235,210,203
1,172,185,201
1,176,182,194
1,208,200,197
1,144,167,199
1,145,172,199
1,152,176,200
1,144,168,202
1,147,174,204
1,147,173,206
1,145,174,204
1,155,181,208
1,139,160,181
1,149,172,204
1,151,180,212
1,149,174,196
1,154,181,208
1,147,176,206
1,147,173,206
1,152,176,204
1,146,175,209
1,147,169,193
1,149,175,208
1,153,179,206
1,118,162,207
1,120,175,214
1,121,165,194
1,126,173,219
1,131,174,219
1,132,169,222
1,133,168,222
1,132,170,215
1,135,175,224
1,119,168,226
1,158,165,183
1,134,146,172
1,160,167,183
1,135,147,171
1,143,155,177
1,133,145,169
1,141,155,181
1,133,148,171
1,141,148,166
1,160,165,184
1,229,222,212
1,227,223,214
1,226,221,215
1,229,225,216
1,225,222,213
1,227,222,218
1,230,221,216
1,229,222,212
1,229,223,211
1,225,221,209
1,218,219,214
1,199,172,155
1,182,181,163
1,204,183,164
1,220,185,165
1,211,185,172
1,216,182,157
1,217,185,160
1,198,179,162
1,194,171,163
1,204,178,165
1,197,184,175
1,158,176,190
1,160,179,196
1,158,175,191
1,154,173,188
1,155,172,188
1,105,116,122
1,155,172,182
1,157,176,191
1,158,178,189
1,159,178,193
1,155,173,185
1,155,191,243
1,155,191,243
1,160,189,231
1,153,193,245
1,156,189,242
1,152,192,243
1,148,184,234
1,150,188,237
1,153,191,240
1,150,190,239
1,145,182,234
1,142,181,236
1,245,240,236
1,244,240,229
1,248,243,223
1,245,242,225
1,251,240,234
1,245,236,227
1,247,240,232
1,249,244,222
1,250,244,228
1,244,244,234
2,255,253,28
2,251,248,11
2,252,254,49
2,252,255,40
2,248,245,8
2,252,254,33
2,254,229,12
2,253,232,0
2,254,254,32
2,248,222,5
2,188,178,117
2,174,173,119
2,190,170,107
2,188,176,128
2,176,168,93
2,179,166,98
2,177,162,97
2,174,158,80
2,183,166,94
2,189,183,133
2,252,217,0
2,253,219,0
2,255,209,2
2,244,208,0
2,252,211,5
2,249,207,1
2,249,218,5
2,253,217,7
2,255,210,6
2,255,214,0
2,249,208,0
2,187,165,4
2,194,165,27
2,199,172,33
2,194,168,21
2,199,166,0
2,204,165,28
2,188,166,20
2,175,150,5
2,176,157,18
2,186,149,16
2,184,158,22
2,164,141,39
2,177,149,14
2,177,170,30
2,188,163,62
2,183,152,10
2,180,150,30
2,180,154,35
2,178,158,23
2,182,162,49
2,169,151,0
2,187,166,61
2,190,165,38
2,179,162,30
2,169,151,23
2,177,146,30
2,173,148,32
2,166,140,43
2,173,155,45
